K,S_mean,S_std,W_mean,W_std,condition,forecast_derivative_mae,forecast_mae,forecast_rmse,mask_density,mask_family,mask_kind,max_support,method,num_masks,task
9,8.2995,0.6392267661682031,0.21166666666666667,0.29359511581670655,drift,0.24110370675056214,2.8746220901554698,3.380921330602778,0.45,window_9,sliding_window,9,replan_mean,12,classification
9,8.3115,0.6565849433841656,0.21083333333333332,0.30045210041945897,drift,0.23988307438530942,2.7600430684512305,3.3292863311738916,0.45,window_9,sliding_window,9,replan_ewma,12,classification
9,8.855999999999998,0.38978626621949275,0.14833333333333334,0.28391700625746213,drift,0.37043666600352787,4.502951683833112,6.084504509468018,0.45,window_9,sliding_window,9,replan_trend,12,classification
9,8.425,0.6048415770541352,0.20916666666666664,0.3125900543644057,drift,0.28734361968031036,3.273330749643104,4.253047007622112,0.45,window_9,sliding_window,9,replan_blend,12,classification
20,9.128999999999998,0.40359370508951065,0.22,0.4163331998932266,drift,,,,1.0,all_ones,sliding_window,20,uniform,1,classification
20,8.911999999999999,0.5043808085167397,0.27,0.4461960433384737,drift,0.27043414931005794,2.973852457830917,3.8212940657237406,1.0,all_ones,sliding_window,20,replan_last,1,classification
20,8.7865,0.5611970881224988,0.31,0.46482319871173167,drift,0.24110370675056214,2.8746220901554698,3.380921330602778,1.0,all_ones,sliding_window,20,replan_mean,1,classification
20,8.790999999999999,0.5533360715521879,0.26,0.4408440022768081,drift,0.23988307438530942,2.7600430684512305,3.3292863311738916,1.0,all_ones,sliding_window,20,replan_ewma,1,classification
20,9.440999999999999,0.24917844808469897,0.16,0.3684529491774707,drift,0.37043666600352787,4.502951683833112,6.084504509468018,1.0,all_ones,sliding_window,20,replan_trend,1,classification
20,9.068,0.49218744889369626,0.25,0.4351941398892446,drift,0.28734361968031036,3.273330749643104,4.253047007622112,1.0,all_ones,sliding_window,20,replan_blend,1,classification
